algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.492,348.335,0.607,0.610,0.607,0.608,0.609,0.551,0.470,0.551,0.393,0.393,1.365,6.631,2.575,0.601,13.540
Linear Regression,0.047,2.393,0.209,0.327,0.209,0.177,0.185,0.203,0.127,0.140,0.791,0.791,2.095,7.013,2.648,0.254,8.835
Logistic Regression,0.143,150.597,0.483,0.449,0.483,0.427,0.428,0.424,0.325,0.388,0.517,0.517,1.997,10.675,3.267,0.411,-11.379
KNN,920.257,0.512,0.634,0.629,0.634,0.624,0.625,0.580,0.489,0.577,0.366,0.366,1.303,6.475,2.545,0.603,17.129
Random Forest,37.413,5256.162,0.701,0.696,0.701,0.691,0.691,0.657,0.557,0.656,0.299,0.299,1.037,5.014,2.239,0.676,34.860
MLP,1.084,4212.276,0.663,0.660,0.663,0.651,0.652,0.614,0.513,0.611,0.337,0.337,1.191,5.838,2.416,0.624,24.215
Bagging,3.753,1698.858,0.673,0.668,0.673,0.667,0.667,0.625,0.531,0.624,0.327,0.327,1.137,5.528,2.351,0.652,28.399
J48,0.371,451.599,0.607,0.609,0.607,0.608,0.609,0.551,0.470,0.551,0.393,0.393,1.365,6.634,2.576,0.601,13.495
ANN,44.902,570.982,0.587,0.564,0.587,0.547,0.543,0.526,0.425,0.519,0.413,0.413,1.501,7.493,2.737,0.521,4.590
DNN,45.438,743.379,0.636,0.620,0.636,0.616,0.613,0.583,0.482,0.580,0.364,0.364,1.253,6.049,2.459,0.592,21.170
Gradient Boosting,13.552,27254.851,0.680,0.675,0.680,0.669,0.669,0.633,0.533,0.632,0.320,0.320,1.122,5.484,2.342,0.654,28.600
XGBoost,5.192,206.631,0.704,0.698,0.704,0.694,0.694,0.661,0.560,0.659,0.296,0.296,1.035,5.052,2.248,0.680,34.259
Gaussian Naive Bayes,1.262,1.382,0.356,0.383,0.356,0.328,0.346,0.274,0.241,0.260,0.644,0.644,2.298,11.680,3.418,0.361,-51.938
Adaptive Gradient Boosting,40.987,16276.871,0.602,0.597,0.602,0.596,0.596,0.544,0.459,0.544,0.398,0.398,1.440,7.222,2.687,0.590,5.855
QDA,1.468,2.455,0.106,0.011,0.106,0.020,0.014,0.000,0.011,0.000,0.894,0.894,2.646,9.632,3.104,0.111,0.000
SNN,45.886,484.701,0.692,0.686,0.692,0.683,0.682,0.647,0.547,0.646,0.308,0.308,1.057,5.090,2.256,0.669,33.669
RBM,46.282,588.785,0.182,0.062,0.182,0.088,0.070,0.000,0.051,0.000,0.818,0.818,3.085,15.855,3.982,0.111,-2.318
LSTM,81.847,5255.038,0.710,0.704,0.710,0.698,0.698,0.667,0.564,0.666,0.290,0.290,1.007,4.881,2.209,0.684,36.679
reconstruction_NN,47.174,645.150,0.629,0.606,0.629,0.607,0.601,0.575,0.478,0.572,0.371,0.371,1.237,5.811,2.411,0.582,24.537
DANN,55.141,679.452,0.626,0.613,0.626,0.600,0.600,0.570,0.469,0.565,0.374,0.374,1.329,6.539,2.557,0.567,16.365
DBN,5.121,1921.739,0.386,0.337,0.386,0.325,0.320,0.297,0.246,0.271,0.614,0.614,2.277,12.020,3.467,0.341,-15.600
DBM,36.317,590.815,0.687,0.681,0.687,0.677,0.677,0.641,0.541,0.640,0.313,0.313,1.090,5.301,2.302,0.660,31.343
DA,33.930,960.046,0.704,0.699,0.704,0.693,0.693,0.661,0.559,0.659,0.296,0.296,1.029,4.978,2.231,0.675,35.884
PassiveAggressiveClassifier,0.153,38.233,0.338,0.333,0.338,0.278,0.279,0.272,0.214,0.241,0.662,0.662,2.271,10.228,3.198,0.334,-28.038
RidgeClassifier,0.103,2.242,0.442,0.399,0.442,0.378,0.384,0.393,0.282,0.335,0.558,0.558,2.035,10.709,3.273,0.378,-1.800
NearestCentroid,0.182,0.651,0.402,0.461,0.402,0.387,0.417,0.331,0.270,0.316,0.598,0.598,2.072,10.556,3.249,0.398,-32.874
CSLR,0.125,105.470,0.479,0.445,0.479,0.425,0.425,0.408,0.320,0.384,0.521,0.521,2.123,11.624,3.409,0.404,-28.994
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,3.630,173.322,0.349,0.214,0.349,0.235,0.220,0.345,0.194,0.215,0.651,0.651,2.203,11.173,3.343,0.300,-1.939
GRU,12.362,530.879,0.629,0.614,0.629,0.609,0.606,0.574,0.475,0.571,0.371,0.371,1.301,6.394,2.529,0.585,16.681
Stochastic_gradient,0.030,9.478,0.442,0.421,0.442,0.425,0.420,0.359,0.309,0.357,0.558,0.558,1.983,9.900,3.146,0.418,-26.349
Extra Trees Classifier,3.332,56.799,0.685,0.679,0.685,0.669,0.670,0.639,0.535,0.636,0.315,0.315,1.099,5.357,2.315,0.651,30.965
Feed Forward Neural Networks,5.922,113.928,0.637,0.626,0.637,0.620,0.618,0.583,0.486,0.581,0.363,0.363,1.257,6.094,2.469,0.595,20.465
Fuzzy,0.204,150.662,0.074,0.061,0.074,0.063,0.061,-0.029,0.034,-0.028,0.926,0.926,3.445,17.199,4.147,0.087,-114.749
EDLNs,22.869,493.054,0.641,0.629,0.641,0.620,0.619,0.588,0.487,0.585,0.359,0.359,1.254,6.122,2.474,0.590,20.778
GMM,146.065,5.353,0.564,0.590,0.564,0.571,0.581,0.508,0.432,0.505,0.436,0.436,1.478,7.208,2.685,0.577,6.670
Bernoulli Naive Bayes,0.037,0.204,0.419,0.364,0.419,0.373,0.363,0.333,0.271,0.323,0.581,0.581,2.220,12.070,3.474,0.383,-33.219
CatBoost,0.203,307.648,0.683,0.673,0.683,0.671,0.670,0.636,0.535,0.635,0.317,0.317,1.101,5.346,2.312,0.656,30.352
Centralised Blending,0.000,298.441,0.502,0.387,0.502,0.413,0.383,0.431,0.301,0.416,0.498,0.498,1.417,6.346,2.519,0.401,19.059
BLoCNet,6.517,141.916,0.626,0.612,0.626,0.603,0.600,0.570,0.471,0.567,0.374,0.374,1.333,6.574,2.564,0.576,14.663
constructive_learning,0.032,15.030,0.584,0.587,0.584,0.585,0.587,0.524,0.447,0.524,0.416,0.416,1.439,6.974,2.641,0.576,8.969
AIS,2.111,252.036,0.685,0.678,0.685,0.672,0.673,0.639,0.537,0.637,0.315,0.315,1.089,5.258,2.293,0.655,31.633
GBBK,0.114,0.151,0.355,0.370,0.355,0.323,0.338,0.273,0.238,0.258,0.645,0.645,2.242,11.284,3.359,0.360,-47.259
GE SVM,335.704,578.020,0.597,0.568,0.597,0.548,0.539,0.543,0.430,0.528,0.403,0.403,1.543,7.891,2.809,0.522,6.728
Hidden Naive Bayes (HNB),0.127,0.164,0.355,0.370,0.355,0.323,0.338,0.273,0.238,0.258,0.645,0.645,2.242,11.284,3.359,0.360,-47.259
HistGradientBoostingClassifier,1.365,24.776,0.688,0.680,0.688,0.677,0.676,0.642,0.542,0.641,0.312,0.312,1.089,5.308,2.304,0.661,30.940
IGRF-RFE with k-fold Cross-Validation,0.027,8.377,0.581,0.584,0.581,0.582,0.583,0.521,0.444,0.521,0.419,0.419,1.438,6.957,2.638,0.573,9.195
ICA,2.309,242.724,0.672,0.664,0.672,0.660,0.660,0.625,0.524,0.623,0.328,0.328,1.139,5.509,2.347,0.643,28.323
Lasso Regression,0.016,71.056,0.481,0.447,0.481,0.424,0.425,0.422,0.323,0.386,0.519,0.519,2.002,10.706,3.272,0.411,-11.459
Meta (KNN),39.305,0.849,0.595,0.586,0.595,0.587,0.585,0.536,0.449,0.535,0.405,0.405,1.413,6.966,2.639,0.569,9.363
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,2.393,5789.366,0.220,0.222,0.220,0.218,0.220,0.103,0.144,0.102,0.780,0.780,2.584,12.250,3.500,0.219,-59.871
Projected Gradient Descent (PGD),0.050,144.484,0.618,0.604,0.618,0.593,0.593,0.562,0.462,0.557,0.382,0.382,1.374,6.812,2.610,0.560,12.957
PCA,0.034,15.857,0.567,0.569,0.567,0.568,0.569,0.506,0.430,0.506,0.433,0.433,1.493,7.213,2.686,0.559,5.853
RBF,420.839,705.105,0.598,0.580,0.598,0.549,0.540,0.543,0.431,0.528,0.402,0.402,1.540,7.872,2.806,0.522,6.945
Stacked Convolutional Neural Networks with k-fold Cross-Validation,9.713,249.784,0.639,0.633,0.639,0.610,0.610,0.587,0.479,0.582,0.361,0.361,1.285,6.274,2.505,0.598,20.204
Simulated Annealing (SA),0.004,1069.184,0.291,0.136,0.291,0.165,0.145,0.271,0.135,0.139,0.709,0.709,2.480,12.557,3.544,0.221,-4.334
SVM with Optimization and k-fold Cross-Validation,103.552,518.755,0.522,0.505,0.522,0.476,0.480,0.466,0.364,0.436,0.478,0.478,1.897,10.128,3.182,0.449,-9.933
Stacking Classifier,6.859,1414.883,0.587,0.589,0.587,0.588,0.588,0.528,0.450,0.528,0.413,0.413,1.423,6.881,2.623,0.580,10.177
Stacking Dilated Convolutional Autoencoders,0.039,83.172,0.584,0.551,0.584,0.564,0.556,0.525,0.436,0.520,0.416,0.416,1.470,7.272,2.697,0.556,9.014
Temporal Deep Feedforward Neural Network,4.561,153.972,0.600,0.518,0.600,0.543,0.523,0.543,0.429,0.533,0.400,0.400,1.463,7.326,2.707,0.529,7.974
Voting Classifier,0.490,34.994,0.584,0.589,0.584,0.586,0.587,0.524,0.448,0.523,0.416,0.416,1.421,6.867,2.620,0.572,10.959
GBT,1.151,2402.923,0.673,0.665,0.673,0.661,0.660,0.625,0.524,0.623,0.327,0.327,1.145,5.583,2.363,0.644,27.283
CART,0.046,38534.257,0.186,0.110,0.186,0.059,0.043,0.016,0.035,0.001,0.814,0.814,2.931,14.419,3.797,0.112,-0.010
